 step	K	U	T
0	0.000000	-17.447741634901924	0.000000
50	9.009049	-37.836447949143761	272.264881
100	7.195819	-34.209923380730913	217.466780
150	6.236808	-32.267569882007898	188.484235
200	7.347463	-34.501035825690408	222.049640
250	6.736914	-33.287640864734669	203.598091
300	6.060872	-31.931973911376453	183.167237
350	6.058962	-31.934302609288061	183.109511
400	5.921362	-31.652803961504038	178.951063
450	6.175261	-32.168263126863231	186.624217
500	6.869418	-33.558931200634746	207.602519
550	6.479357	-32.775603006977775	195.814390
600	6.136974	-32.091097178053644	185.467134
650	6.487389	-32.792043350724882	196.057123
700	6.299465	-32.416395580304133	190.377817
750	6.578022	-32.978237318875145	198.796154
800	6.277504	-32.375361302225926	189.714137
850	7.062317	-33.948343053431856	213.432163
900	6.366313	-32.550071891995330	192.398044
950	6.256235	-32.336237550213475	189.071368
1000	6.678454	-33.176608635121383	201.831350
1050	6.455423	-32.728579942424744	195.091058
1100	6.281770	-32.379491366902258	189.843040
1150	6.572677	-32.966238314400719	198.634640
1200	5.854441	-31.523999097412968	176.928616
1250	5.736665	-31.287877512907059	173.369289
1300	6.144345	-32.111518205931290	185.689903
1350	6.636020	-33.092542413546219	200.548938
1400	6.113778	-32.048411141095926	184.766134
1450	5.561939	-30.942954464065636	168.088858
1500	6.914072	-33.649720489224087	208.952033
1550	6.239002	-32.297823651697115	188.550538
1600	6.425252	-32.673939314392186	194.179275
1650	6.350359	-32.521963508912179	191.915893
1700	6.388760	-32.597382827612257	193.076443
1750	6.350018	-32.525055916944474	191.905605
1800	6.773038	-33.371939370593566	204.689791
1850	6.430587	-32.679790172412801	194.340504
1900	6.470034	-32.757261264927436	195.532620
1950	6.694121	-33.205850847342717	202.304819
2000	6.132380	-32.085498909146644	185.328299
2050	6.167291	-32.148297673530934	186.383349
2100	6.340924	-32.499950917104940	191.630769
2150	6.197080	-32.212082367242104	187.283605
2200	5.981887	-31.779463295967432	180.780219
2250	6.019809	-31.853337772194322	181.926261
2300	6.514412	-32.846977827197193	196.873776
2350	5.984890	-31.785553850675711	180.870961
2400	6.657454	-33.135088657149133	201.196709
2450	6.424237	-32.664475844353618	194.148574
2500	5.971471	-31.760115650055432	180.465416
2550	6.963697	-33.744953118264760	210.451743
2600	6.250266	-32.322104211499756	188.890958
2650	6.472697	-32.762655730521971	195.613100
2700	6.184717	-32.186301409780519	186.909975
2750	6.481792	-32.786057633584186	195.887974
2800	6.056129	-31.931140179454808	183.023908
2850	5.912280	-31.644031319072411	178.676605
2900	7.196564	-34.219301185795636	217.489291
2950	6.291039	-32.401938648952040	190.123184
3000	5.970223	-31.762518371705205	180.427698
3050	6.202086	-32.220980292207450	187.434915
3100	6.374223	-32.565108435904975	192.637099
3150	6.724800	-33.266434424270273	203.231974
3200	6.194626	-32.205288237009327	187.209446
3250	6.154168	-32.128911955474337	185.986758
3300	6.154167	-32.128282809404780	185.986718
3350	6.673313	-33.162460192385723	201.675989
3400	6.106528	-32.027977513897866	184.547018
3450	5.879224	-31.573841420248087	177.677611
3500	6.257546	-32.332767590231811	189.110972
3550	6.411867	-32.642540893301891	193.774757
3600	6.095568	-32.012329734937204	184.215786
3650	6.169078	-32.157927172962872	186.437367
3700	6.410699	-32.639460845921398	193.739453
3750	6.435499	-32.691683522685352	194.488944
3800	5.754794	-31.322622867108272	173.917157
3850	7.003004	-33.826558478906435	211.639671
3900	6.061835	-31.942312182047672	183.196345
3950	6.562595	-32.947947717795564	198.329948
4000	6.419592	-32.658206891523676	194.008212
4050	6.635706	-33.091233055127233	200.539435
4100	6.788620	-33.399738285662600	205.160693
4150	6.011157	-31.839151131202463	181.664775
4200	6.246174	-32.313705415306579	188.767296
4250	5.851232	-31.522507953003405	176.831659
4300	6.647975	-33.116667405434164	200.910222
4350	6.566241	-32.953601684759150	198.440139
4400	5.786799	-31.392232415088291	174.884407
4450	5.616308	-31.046537370255216	169.731954
4500	6.515592	-32.847195082096334	196.909444
4550	6.429415	-32.674261307390175	194.305079
4600	6.169359	-32.157273175823363	186.445847
4650	6.343338	-32.507564260747166	191.703733
4700	6.418739	-32.658909032005994	193.982420
4750	6.413150	-32.644160871540407	193.813513
4800	6.518441	-32.859653587223185	196.995556
4850	6.630288	-33.082072114931577	200.375715
4900	6.385614	-32.592849222124947	192.981342
4950	6.679258	-33.181837330559603	201.855657
